categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - dourado
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - filhote
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - linguado
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - mandi
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - merluza
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - pacu
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - palombeta
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - pargo
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - peroá
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - pescada
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - pescadinha
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - piau
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - pintado
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - piramutaba
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - salmão
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - sardinha
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - serra
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - surubim
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - tainha
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - tambaqui
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - tilápia
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - tucunaré
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - vermelho
Alimentação e bebidas,Alimentação no domicílio,Pescados,Sururu
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Alho
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Atomatado
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Caldo concentrado
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Caldo de tucupi
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Colorau
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Fermento
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Leite de coco
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Maionese
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Molho de soja
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Sal
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Sal refinado
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Tempero misto
Alimentação e bebidas,Alimentação no domicílio,Sal e condimentos,Vinagre
"Alimentação e bebidas,Alimentação no domicílio,""Tubérculos, raízes e legumes"",Abóbora"
